,date,year,month,weekday,day,ARTICLE,AMOUNT,WOCHENMARKT,BOCHUM_TOTAL,WAHLEN,WEIHNACHTSMARKT,ZELTFESTIVAL,KEMNADE_IN_FLAMMER,HEIMSPIEL_VFL_BOCHUM,holiday,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,tdiff
4,1/30/2015,2015,1,4,30,Käsebrötchen,35,0,0,0,0,0,0,0,0,0.4,-0.5,1.5,2.5,20,235,12.2,41.4,976.6,0,0
6,1/31/2015,2015,1,5,31,Käsebrötchen,34,0,0,0,0,0,0,0,0,1.3,-0.1,4.1,0.2,0,232,12.2,29.9,982.4,36,0.9
8,2/1/2015,2015,2,6,1,Käsebrötchen,57,0,0,0,0,0,0,0,0,1.1,0.1,2.1,1.7,0,223,8.3,25.9,991,0,-0.2
10,2/2/2015,2015,2,0,2,Käsebrötchen,32,0,0,0,0,0,0,0,0,0.6,-0.1,1.4,2.8,0,258,10.4,31.7,1000.5,0,-0.5
12,2/3/2015,2015,2,1,3,Käsebrötchen,27,1,0,0,0,0,0,0,0,0.4,-0.7,2.1,1.3,0,263,8.3,30.6,1005.1,24,-0.2
14,2/4/2015,2015,2,2,4,Käsebrötchen,26,0,0,0,0,0,0,0,0,-0.7,-2.9,1.6,0,0,342,7.9,26.3,1015,24,-1.1
16,2/5/2015,2015,2,3,5,Käsebrötchen,30,1,0,0,0,0,0,0,0,-1.7,-3.3,0.3,0,0,47,13.7,46.1,1023.3,144,-1
18,2/6/2015,2015,2,4,6,Käsebrötchen,25,0,0,0,0,0,0,0,0,-1.5,-3.8,1.4,0,0,51,20.9,53.3,1028.7,432,0.2
20,2/7/2015,2015,2,5,7,Käsebrötchen,35,0,0,0,0,0,0,0,0,0.2,-4.2,3.7,0.4,0,14,11.2,36,1031.4,276,1.7
22,2/8/2015,2015,2,6,8,Käsebrötchen,54,0,0,0,0,0,0,0,0,2.7,1.7,4,0.3,0,332,14.4,41,1030.4,120,2.5
24,2/9/2015,2015,2,0,9,Käsebrötchen,20,0,0,0,0,0,0,0,0,4,2,5.5,2.4,0,285,9.7,33.1,1029.9,0,1.3
26,2/10/2015,2015,2,1,10,Käsebrötchen,26,1,0,0,0,0,0,0,0,4.7,4.1,5.4,0.1,0,346,7.6,21.2,1031.6,0,0.7
28,2/11/2015,2015,2,2,11,Käsebrötchen,26,0,0,0,0,0,0,0,0,3,-1,5.3,0,0,124,8.6,21.6,1026.8,168,-1.7
30,2/12/2015,2015,2,3,12,Käsebrötchen,43,1,0,0,0,0,0,0,0,1.9,-0.8,5.6,0,0,161,12.2,28.1,1022.4,378,-1.1
32,2/13/2015,2015,2,4,13,Käsebrötchen,35,0,0,0,0,0,0,1,0,4.4,0.8,9,0,0,166,15.8,38.2,1015.6,528,2.5
34,2/14/2015,2015,2,5,14,Käsebrötchen,26,0,0,0,0,0,0,0,0,7.1,4.4,10.9,0,0,142,17.3,37.1,1009.6,384,2.7
36,2/15/2015,2015,2,6,15,Käsebrötchen,38,0,0,0,0,0,0,0,0,3.8,0.3,7.9,0,0,69,9.4,27,1014,552,-3.3
38,2/16/2015,2015,2,0,16,Käsebrötchen,38,0,0,0,0,0,0,0,0,2.3,0.3,6,0,0,168,12.2,29.2,1019.7,546,-1.5
40,2/17/2015,2015,2,1,17,Käsebrötchen,25,1,0,0,0,0,0,0,0,1.9,-0.2,4.2,0.3,0,220,7.6,22,1032.8,0,-0.4
42,2/18/2015,2015,2,2,18,Käsebrötchen,36,0,0,0,0,0,0,0,0,2.5,0.3,5.1,0,0,190,7.2,22.3,1039.9,18,0.6
44,2/19/2015,2015,2,3,19,Käsebrötchen,22,1,0,0,0,0,0,0,0,1.3,-0.1,4.1,0,0,180,14.8,42.5,1028.9,216,-1.2
46,2/20/2015,2015,2,4,20,Käsebrötchen,34,0,0,0,0,0,0,0,0,4.6,1.2,6.6,11.8,0,190,16.6,40.7,1010.5,0,3.3
48,2/21/2015,2015,2,5,21,Käsebrötchen,30,0,0,0,0,0,0,0,0,3.4,1.6,5.8,1.6,0,227,12.6,47.5,999.4,96,-1.2
50,2/22/2015,2015,2,6,22,Käsebrötchen,41,0,0,0,0,0,0,0,0,2.4,0.4,5.2,5.1,0,214,11.5,50.8,1008.4,114,-1
52,2/23/2015,2015,2,0,23,Käsebrötchen,38,0,0,0,0,0,0,0,0,2.7,0.1,6.1,3.9,0,186,18,63,996.9,90,0.3
54,2/24/2015,2015,2,1,24,Käsebrötchen,36,1,0,0,0,0,0,0,0,3.7,1.6,5.6,5.6,0,219,16.2,49,1005.7,18,1
56,2/25/2015,2015,2,2,25,Käsebrötchen,27,0,0,0,0,0,0,0,0,3.7,1,7.4,0.7,0,203,10.4,32.8,1017.7,270,0
58,2/26/2015,2015,2,3,26,Käsebrötchen,17,1,0,0,0,0,0,0,0,5.5,2,8.5,10.5,0,171,15.5,41,1016.2,252,1.8
60,2/27/2015,2015,2,4,27,Käsebrötchen,34,0,0,0,0,0,0,1,0,4.6,0.1,7,0.9,0,315,12.2,38.2,1015.2,90,-0.9
62,2/28/2015,2015,2,5,28,Käsebrötchen,32,0,0,0,0,0,0,0,0,3.4,-1,7.9,2.5,0,187,14,49.3,1017.6,576,-1.2
64,3/1/2015,2015,3,6,1,Käsebrötchen,51,0,0,0,0,0,0,0,0,6.8,3.4,10.9,1.8,0,210,21.6,61.2,1002.8,162,3.4
66,3/2/2015,2015,3,0,2,Käsebrötchen,62,0,0,0,0,0,0,0,0,4.8,1.7,8.3,1.6,0,248,20.5,70.9,1005.9,330,-2
68,3/3/2015,2015,3,1,3,Käsebrötchen,54,1,0,0,0,0,0,0,0,3.8,1.7,7.9,2.6,0,228,17.6,64.8,1017.3,30,-1
70,3/4/2015,2015,3,2,4,Käsebrötchen,37,0,0,0,0,0,0,0,0,3.4,1.1,7.1,1.9,0,251,14.8,45.4,1025.1,126,-0.4
72,3/5/2015,2015,3,3,5,Käsebrötchen,36,1,0,0,0,0,0,0,0,4.6,2.1,7.7,0,0,284,7.6,23.8,1037.3,18,1.2
74,3/6/2015,2015,3,4,6,Käsebrötchen,46,0,0,0,0,0,0,0,0,5,2.5,7.6,0,0,220,9,22.3,1036.3,0,0.4
75,3/7/2015,2015,3,5,7,Käsebrötchen,42,0,0,0,0,0,0,0,0,7.4,2.2,13.2,0,0,181,13,34.9,1030.5,456,2.4
77,3/8/2015,2015,3,6,8,Käsebrötchen,53,0,0,0,0,0,0,0,0,11.3,6.1,17.5,0.1,0,201,10.8,33.1,1024.6,588,3.9
79,3/9/2015,2015,3,0,9,Käsebrötchen,34,0,0,0,0,0,0,0,0,8.1,5.7,11.8,0.2,0,226,6.1,19.4,1026.9,96,-3.2
81,3/10/2015,2015,3,1,10,Käsebrötchen,43,1,0,0,0,0,0,0,0,8,3.2,12.1,0.5,0,292,10.1,25.9,1028.2,216,-0.1
83,3/11/2015,2015,3,2,11,Käsebrötchen,42,0,0,0,0,0,0,0,0,5.2,1,9.7,0,0,45,8.3,21.2,1031.5,540,-2.8
85,3/12/2015,2015,3,3,12,Käsebrötchen,36,1,0,0,0,0,0,0,0,6.2,-0.5,11.6,0,0,84,11.2,30.2,1030.8,660,1
87,3/13/2015,2015,3,4,13,Käsebrötchen,16,0,0,0,0,0,0,1,0,4,-0.3,8.5,0,0,86,11.2,34.6,1026.1,498,-2.2
89,3/14/2015,2015,3,5,14,Käsebrötchen,42,0,0,0,0,0,0,0,0,2.9,0.6,4.5,0.2,0,54,13,31.7,1028,0,-1.1
91,3/15/2015,2015,3,6,15,Käsebrötchen,59,0,0,0,0,0,0,0,0,4.9,3.7,6.7,0.2,0,61,13.7,34.9,1027.2,6,2
93,3/16/2015,2015,3,0,16,Käsebrötchen,32,0,0,0,0,0,0,0,0,7.2,2.2,13,0,0,71,9.7,28.1,1024.1,618,2.3
