"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"1";26,5;27,395;26,5;27,395;2293800;68,14;70,89;68,14;70,78;372700;5975,52002;6048,299805;5974,430176;6048,299805;24260800
"2";27,46;27,935;27,1;27,765;3753100;70,67;71,46;70,21;71,04;412800;6043,939941;6058,02002;6015,669922;6031,859863;27329600
"3";27,65;27,74;27,21;27,63;2571500;71,25;71,44;70,58;71,19;340400;6032,390137;6047,569824;5997,089844;6034,330078;24605300
"4";27,47;27,73;27,25;27,55;2174300;70,84;73,22;70,1;73,01;470500;6016,799805;6037,569824;5961,25;6019,359863;30059600
"5";27,58;28,085;27,435;28,07;3147700;73,28;73,28;71,35;72,71;621300;6028,620117;6053,040039;5972,240234;6037,609863;31735200
"6";28,055;28,24;27,33;27,4;4115800;73,25;74,32;72,8;72,86;683600;6057,930176;6094,259766;6031,140137;6040,5;27162500
"7";27,39;27,435;26,61;26,74;7484800;72,8;72,8;70,39;70,96;507600;6039,390137;6055,560059;5924,720215;5943;35242500
"8";26,5;27,33;26,5;27,13;3684600;69,67;70,77;68,62;69,96;816100;5937,169922;5974,439941;5925,240234;5963,140137;30161300
"9";27,41;27,535;26,735;27,225;3513900;70,65;71,04;69,31;70,13;555000;5999,080078;6009,910156;5951,689941;5988,879883;33479000
"10";27,19;27,495;26,505;26,655;3341600;70,02;70,5;67,49;68,02;1033200;5996,560059;6025,359863;5866,839844;5875,970215;46886700
"11";26,97;26,97;26,46;26,735;1430900;68;68,41;67,49;67,98;445600;5897,629883;5922,930176;5877,649902;5918,549805;20918000
"12";27;27,14;26,43;27,04;3264900;69,39;70,77;68,71;70,54;950400;5905,330078;5988,799805;5849,669922;5976,47998;29504500
"13";26,9;26,98;26,03;26,22;3111100;70,56;71;68,87;69,21;931000;5963,709961;5972,77002;5832,089844;5851,529785;32339400
"14";26,3;26,44;25,07;25,185;6101000;69,89;70,25;67,33;67,33;1001800;5878,240234;5908,850098;5742,450195;5746,970215;39063300
"15";24,9;25,105;24,01;24,55;5454400;67,25;67,77;66,03;67,27;927700;5735,680176;5740,870117;5639,490234;5695,319824;47739600
"16";24,24;24,62;24,01;24,095;3406600;66,7;67,54;66,05;66,27;525400;5662,850098;5693,859863;5624,580078;5631,370117;33562000
"17";23,7;24,07;23,5;23,85;4608000;65,69;66,22;64,82;65,77;641600;5593,939941;5675,959961;5574,459961;5668,930176;42243000
"18";23,58;23,77;23,155;23,38;3864200;64,86;65,27;63,88;64,38;942600;5643,52002;5673,72998;5589,009766;5643,200195;38209400
"19";23,62;23,795;22,755;22,755;4584100;65,29;65,75;63;63;966600;5687,100098;5718,810059;5540,330078;5540,330078;44525700
"20";22,925;23,26;22,78;22,99;3864500;63,43;64,87;63,14;64,21;622300;5566,029785;5657,870117;5556,189941;5608,790039;41892900
"21";22,93;23,54;22,775;23,365;3104200;64,01;65,68;63,6;65,5;540500;5587,5;5674,209961;5567,720215;5654,47998;30622000
"22";23,525;24,09;23,375;23,785;2974000;65,79;66,62;64,92;66,34;596900;5664,25;5723,200195;5624,609863;5709,660156;31530300
"23";23,91;24,08;23,35;23,55;2873600;67,39;67,87;66,53;67,12;750300;5715,160156;5733,709961;5656,899902;5672,089844;35285100
"24";23,59;23,59;22,29;22,35;4913200;67,2;67,32;64,51;64,87;684200;5671,169922;5696,939941;5522,569824;5533,240234;43787300
"25";22,24;22,48;21,765;22,035;5397500;64,39;64,9;63,29;63,79;1019800;5515,689941;5527;5433,02002;5434,339844;56173500
"26";22,315;22,62;21,825;22,28;3475200;64,18;65,36;63,69;64,86;691200;5476,470215;5505,060059;5434,399902;5484,850098;34475500
"27";22,355;23,13;22,16;22,8;5309500;64,95;66,5;64,44;65,7;557700;5485,310059;5537,970215;5461,509766;5498,259766;34406000
"28";22,65;23;22,25;22,415;5955100;65,73;65,99;63,82;64;786700;5533,709961;5592,27002;5505,370117;5536,370117;33831200
"29";22,72;22,905;22,095;22,345;3817400;64,57;65,3;63,53;64,21;548400;5562,830078;5580,77002;5454,069824;5503,930176;32636900
"30";23,3;23,38;22,525;22,96;8330500;65,25;65,66;63,13;63,92;611900;5550,450195;5565,430176;5460,049805;5500,390137;30096300
"31";23,22;23,38;22,9;23,02;1735400;64,29;64,67;63,42;63,72;222500;5525,740234;5547,140137;5502,490234;5511,100098;14732800
"32";23,34;23,64;23,085;23,61;3682300;64,2;64,65;63,08;64,29;705700;5573,069824;5592,120117;5498,069824;5592,120117;27671800
"33";23,86;23,955;23,6;23,635;3783800;64,7;65,53;64,45;64,99;623800;5640,169922;5682,359863;5634,97998;5648,339844;32105200
"34";23,64;23,97;23,44;23,86;3053600;64,99;66,04;64,33;65,94;699000;5645,629883;5691,600098;5626,080078;5680,410156;34666100
"35";23,68;24,19;23,45;24,09;3566000;65,42;66,38;64,88;66,2;495300;5627,259766;5729,580078;5626,569824;5722,049805;37978900
"36";24,29;24,35;23,925;23,96;2071200;66,59;67,72;66,39;66,8;911400;5741;5743,890137;5683,609863;5688,439941;23709800
"37";24,095;24,18;23,045;23,18;3468500;66,83;67,23;64,48;64,93;605700;5715,629883;5732,140137;5584,470215;5604,069824;33399600
"38";23,26;23,3;22,685;23,04;3577100;65,15;65,19;63,54;64,87;465600;5622,310059;5639,709961;5572,25;5615,509766;30482300
"39";22,8;23,135;22,51;22,785;3121100;64,36;65,35;63,14;64,08;505200;5562,700195;5655,75;5518,27002;5532,330078;38160100
"40";23,08;23,34;22,935;23,25;2831700;64,71;65,01;63,88;64,81;469100;5588,990234;5605,100098;5530,189941;5598,459961;32942100
"41";23,44;23,655;23,17;23,535;2543200;65,45;66,18;64,92;66,01;398400;5652,850098;5717,720215;5641,180176;5713,509766;28803000
"42";23,535;24,21;23,535;24,14;2824000;66,1;67,63;66,02;67,18;476000;5728,279785;5780,140137;5709,740234;5776,560059;28856200
"43";24,15;24,8;24,1;24,65;3316000;67,24;68,85;66,63;68,6;582400;5759,220215;5828,799805;5750,299805;5817,879883;29965900
"44";24,6;25,05;24,485;24,675;2921400;68,31;68,95;67,63;67,96;519800;5773,859863;5823,109863;5767,649902;5795,319824;27443200
"45";24,8;25,235;24,74;25,04;2321400;66,8;68,29;66,5;68,03;771600;5816,189941;5880,25;5808,359863;5877,359863;31100200
"46";25,295;25,3;24,81;24,94;2029300;67,25;67,47;66,72;67,1;619700;5891,740234;5894,189941;5865,439941;5875,910156;25009000
"47";24,88;25,07;24,605;24,945;2472000;66,95;67,67;65,81;67,25;607700;5872,569824;5900,160156;5838,169922;5885,890137;24946200
"48";24,86;25,5;24,745;25,39;2454300;67,17;68,45;66,69;68,25;706300;5882,759766;5951,930176;5874,75;5936,720215;27233400
"49";25,325;25,445;25,045;25,175;1784600;67,92;68,88;67,9;68,33;528100;5913,169922;5954,549805;5906,839844;5928,629883;26188100
"50";25,25;25,585;25,105;25,345;2064800;68,45;68,93;67,81;68,27;402100;5944,569824;5989,879883;5934,149902;5945,109863;32115200
"51";25,25;25,38;24,975;24,995;2068400;67,87;68,06;66,68;66,84;391800;5933,629883;5953,189941;5898,220215;5903,560059;22773300
"52";25,05;25,395;25,05;25,19;2043500;67,08;67,78;66,79;67,08;347600;5935,189941;5991,109863;5930,339844;5970,990234;26636800
"53";25,4;25,79;25,22;25,72;2845800;67,45;68,15;67,32;67,84;462500;5999,310059;6035,950195;5991,209961;6024,279785;33973300
