month;constrrf;durblrf;foodrf;hml;jan;rf;rmrf;smb
196001;-6,82;0,96;-4,61;2,69;1;0,33;-6,97;2,04
196002;2,63;3,64;2,79;-1,98;0;0,29;1,13;0,56
196003;-0,33;-2,25;-1,8;-2,91;0;0,35;-1,63;-0,43
196004;-1,99;2,56;0,84;-2,39;0;0,19;-1,72;0,43
196005;3,75;6,79;7,38;-3,79;0;0,27;3,13;1,34
196006;2,06;-1,29;4,96;-0,33;0;0,24;2,06;-0,16
196007;-4,65;-5,63;-2;2,14;0;0,13;-2,4;-0,5
196008;-0,16;4,29;4,46;-0,39;0;0,17;3,06;0,9
196009;-4,69;-4,13;-3,97;1,48;0;0,16;-6,02;-1,12
196010;-1,46;1,39;0,99;2,59;0;0,22;-0,7;-3,92
196011;6,55;11,32;9,22;-2,49;0;0,13;4,72;0,38
196012;3,58;7,01;4,12;-0,66;0;0,16;4,69;-1,51
196101;5,94;0,03;4,74;3,75;1;0,19;6,2;0,84
196102;4,24;18,75;4,52;-0,86;0;0,14;3,56;3,98
196103;2,14;3,8;4,47;-0,7;0;0,2;2,86;3,24
196104;-4,18;-2,47;-1,17;1,89;0;0,17;0,4;0,13
196105;2,68;-1,45;4,29;0,52;0;0,18;2,4;1,97
196106;-3,21;-6,82;-2,24;-0,29;0;0,2;-3,05;-2,47
196107;-0,31;-0,83;2,58;-0,15;0;0,18;2,81;-1,9
196108;0,59;2,08;4,78;-0,24;0;0,14;2,55;-1,84
196109;-2,83;1,9;-0,69;-0,49;0;0,17;-2,17;-1,12
196110;1,28;-2,82;3,38;0,46;0;0,19;2,55;-2,02
196111;5,95;2,03;5,22;-0,92;0;0,15;4,39;1,07
196112;0,4;-0,08;-3,32;2,21;0;0,19;-0,12;-1,13
196201;-5,16;-9,9;-6,43;5,03;1;0,24;-3,86;1,88
196202;0,68;-0,17;-0,21;0,88;0;0,2;1,75;-1,18
196203;-1,24;-2,22;0,88;-0,98;0;0,2;-0,67;0,23
196204;-7,28;-8,25;-4,51;0,41;0;0,22;-6,57;-0,97
