Date;DAX
31.12.1995;2253,88
31.01.1996;2470,14
29.02.1996;2473,55
29.03.1996;2485,87
30.04.1996;2505,25
31.05.1996;2542,8
28.06.1996;2561,39
31.07.1996;2473,35
30.08.1996;2543,83
30.09.1996;2651,85
31.10.1996;2659,25
29.11.1996;2845,52
31.12.1996;2888,69
31.01.1997;3035,15
28.02.1997;3259,64
31.03.1997;3429,05
30.04.1997;3438,07
30.05.1997;3547,84
30.06.1997;3785,77
31.07.1997;4438,93
29.08.1997;3906,03
30.09.1997;4167,85
31.10.1997;3726,69
28.11.1997;3949,14
31.12.1997;4249,69
30.01.1998;4440,38
27.02.1998;4709,83
31.03.1998;5102,35
30.04.1998;5107,44
29.05.1998;5569,08
30.06.1998;5897,44
31.07.1998;5873,92
31.08.1998;4833,89
30.09.1998;4474,51
30.10.1998;4671,12
30.11.1998;5022,7
31.12.1998;5002,39
29.01.1999;5159,96
26.02.1999;4911,81
31.03.1999;4884,2
30.04.1999;5393,11
31.05.1999;5069,83
30.06.1999;5378,52
30.07.1999;5101,87
31.08.1999;5270,77
30.09.1999;5149,83
29.10.1999;5525,4
30.11.1999;5896,04
31.12.1999;6958,14
31.01.2000;6835,6
29.02.2000;7644,55
31.03.2000;7599,39
28.04.2000;7414,68
31.05.2000;7109,67
30.06.2000;6898,21
31.07.2000;7190,37
31.08.2000;7216,45
29.09.2000;6798,12
31.10.2000;7077,44
30.11.2000;6372,33
29.12.2000;6433,61
