AUSUEBUNG;SELBSTAENDIG;BERATUNGSOFFEN;ALTER;MONATSNETTO;NOMINALZINS;GESAMTZUSAGE;URSPRUNGSLAUFZEIT;RECHTVERFUEGBARSEIT
1,00;0,00;0,00;61,00;0,00;5,39;90000,00;180,00;23,00
0,00;0,00;1,00;46,00;150000,00;4,30;70000,00;180,00;1,00
0,00;0,00;1,00;54,00;10000,00;5,08;120000,00;181,00;54,00
0,00;0,00;0,00;62,00;0,00;5,00;70000,00;166,00;29,00
1,00;0,00;1,00;58,00;90000,00;4,95;460000,00;179,00;15,00
0,00;0,00;0,00;56,00;10000,00;4,79;40000,00;179,00;10,00
0,00;0,00;1,00;84,00;0,00;4,28;80000,00;181,00;47,00
1,00;1,00;1,00;56,00;0,00;4,50;120000,00;180,00;38,00
0,00;0,00;0,00;58,00;20000,00;4,00;50000,00;182,00;55,00
0,00;0,00;0,00;60,00;0,00;4,14;190000,00;127,00;0,00
0,00;0,00;0,00;57,00;10000,00;4,98;200000,00;159,00;19,00
0,00;0,00;1,00;41,00;40000,00;4,75;490000,00;135,00;8,00
0,00;0,00;0,00;76,00;0,00;5,35;120000,00;133,00;6,00
0,00;0,00;0,00;21,00;0,00;4,87;2000000,00;173,00;4,00
0,00;0,00;1,00;74,00;0,00;5,20;1050000,00;144,00;17,00
0,00;0,00;0,00;70,00;10000,00;4,50;100000,00;181,00;47,00
1,00;1,00;0,00;66,00;0,00;4,83;290000,00;163,00;23,00
0,00;1,00;1,00;52,00;280000,00;4,99;80000,00;184,00;22,00
0,00;0,00;0,00;62,00;20000,00;4,87;50000,00;180,00;53,00
0,00;0,00;0,00;71,00;0,00;4,65;70000,00;155,00;28,00
0,00;0,00;1,00;46,00;140000,00;4,70;50000,00;179,00;52,00
0,00;1,00;0,00;52,00;0,00;4,85;170000,00;241,00;80,00
0,00;0,00;1,00;82,00;0,00;4,50;300000,00;168,00;29,00
1,00;0,00;0,00;65,00;0,00;4,93;340000,00;167,00;10,00
0,00;0,00;0,00;52,00;10000,00;4,58;70000,00;203,00;12,00
0,00;0,00;0,00;62,00;60000,00;4,00;280000,00;180,00;53,00
0,00;0,00;1,00;54,00;20000,00;4,00;200000,00;180,00;53,00
0,00;0,00;0,00;30,00;0,00;5,00;1910000,00;175,50;13,00
0,00;0,00;0,00;62,00;40000,00;4,66;80000,00;145,00;18,00
0,00;0,00;0,00;60,00;10000,00;5,03;130000,00;145,00;17,00
0,00;0,00;0,00;68,00;0,00;5,12;260000,00;180,00;23,00
0,00;0,00;0,00;83,00;0,00;5,29;770000,00;158,50;22,00
0,00;0,00;0,00;50,00;0,00;5,15;60000,00;179,00;52,00
1,00;0,00;1,00;48,00;40000,00;4,90;30000,00;180,00;3,00
0,00;0,00;1,00;57,00;50000,00;5,28;90000,00;139,00;13,00
0,00;0,00;0,00;65,00;60000,00;4,54;180000,00;179,00;2,00
0,00;0,00;0,00;66,00;60000,00;4,98;130000,00;157,00;19,00
0,00;0,00;1,00;53,00;0,00;4,20;120000,00;151,00;24,00
1,00;0,00;0,00;48,00;10000,00;4,95;70000,00;177,00;5,00
0,00;0,00;1,00;54,00;10000,00;4,41;100000,00;142,00;15,00
0,00;0,00;1,00;76,00;10000,00;4,93;100000,00;131,00;4,00
0,00;0,00;1,00;55,00;10000,00;4,59;170000,00;183,00;22,00
0,00;1,00;0,00;60,00;0,00;4,98;240000,00;168,00;19,00
0,00;0,00;1,00;54,00;70000,00;4,93;120000,00;159,00;19,00
1,00;0,00;1,00;47,00;20000,00;4,75;420000,00;172,00;8,00
0,00;0,00;0,00;76,00;20000,00;5,03;150000,00;158,00;8,00
1,00;0,00;1,00;54,00;270000,00;5,70;90000,00;207,00;27,00
1,00;1,00;0,00;55,00;0,00;5,22;260000,00;178,00;3,00
0,00;0,00;0,00;58,00;60000,00;4,66;100000,00;188,00;45,00
0,00;0,00;0,00;51,00;40000,00;4,78;140000,00;150,00;23,00
1,00;0,00;0,00;82,00;0,00;5,85;810000,00;214,75;8,00
1,00;0,00;1,00;53,00;10000,00;5,10;100000,00;178,00;0,00
0,00;0,00;0,00;78,00;160000,00;4,19;60000,00;242,00;54,00
1,00;1,00;0,00;52,00;0,00;5,30;410000,00;180,00;5,00
1,00;0,00;1,00;54,00;20000,00;5,57;70000,00;179,00;0,00
0,00;0,00;1,00;54,00;0,00;4,45;130000,00;182,00;55,00
0,00;0,00;0,00;44,00;0,00;4,60;140000,00;180,00;49,00
0,00;0,00;0,00;52,00;0,00;3,65;600000,00;240,00;52,00
0,00;0,00;0,00;60,00;10000,00;4,25;80000,00;151,00;24,00
0,00;0,00;1,00;82,00;30000,00;5,45;180000,00;138,00;11,00
0,00;0,00;1,00;56,00;0,00;4,50;170000,00;157,00;29,00
1,00;0,00;0,00;49,00;30000,00;5,63;80000,00;180,00;19,00
1,00;1,00;0,00;66,00;0,00;4,74;460000,00;168,00;23,00
0,00;0,00;0,00;60,00;10000,00;4,49;30000,00;132,00;5,00
1,00;0,00;0,00;56,00;10000,00;4,25;140000,00;180,00;43,00
0,00;0,00;0,00;52,00;10000,00;4,87;160000,00;176,00;50,00
0,00;0,00;1,00;52,00;10000,00;4,36;100000,00;182,00;6,00
0,00;0,00;0,00;51,00;0,00;4,40;80000,00;166,00;29,00
0,00;0,00;0,00;45,00;10000,00;5,59;700000,00;181,00;21,00
1,00;0,00;1,00;43,00;10000,00;5,28;110000,00;179,00;21,00
0,00;0,00;0,00;52,00;0,00;4,98;150000,00;162,00;19,00
1,00;0,00;0,00;68,00;20000,00;4,53;60000,00;240,00;30,00
0,00;0,00;0,00;76,00;0,00;4,68;900000,00;199,00;11,00
0,00;0,00;1,00;64,00;60000,00;4,75;100000,00;174,00;31,00
0,00;0,00;0,00;60,00;0,00;4,84;900000,00;129,00;2,00
0,00;0,00;1,00;74,00;10000,00;4,00;110000,00;174,00;47,00
1,00;0,00;0,00;43,00;0,00;5,15;270000,00;179,00;13,00
0,00;0,00;0,00;64,00;0,00;5,29;300000,00;146,00;19,00
0,00;0,00;0,00;57,00;70000,00;5,45;140000,00;155,00;28,00
0,00;0,00;0,00;50,00;280000,00;4,69;50000,00;128,00;1,00
1,00;1,00;0,00;53,00;0,00;5,06;490000,00;240,00;4,00
0,00;1,00;1,00;51,00;0,00;4,00;160000,00;179,00;52,00
0,00;0,00;0,00;52,00;270000,00;5,08;80000,00;181,00;54,00
0,00;0,00;0,00;54,00;10000,00;4,50;80000,00;181,00;32,00
0,00;0,00;1,00;53,00;70000,00;4,58;300000,00;143,00;16,00
1,00;0,00;1,00;48,00;0,00;5,05;870000,00;175,00;16,00
0,00;1,00;0,00;52,00;70000,00;4,65;420000,00;142,00;15,00
0,00;0,00;0,00;19,00;70000,00;4,44;500000,00;130,00;3,00
0,00;1,00;1,00;58,00;0,00;4,95;170000,00;163,00;29,00
0,00;0,00;1,00;78,00;20000,00;4,98;190000,00;162,00;19,00
0,00;0,00;0,00;54,00;10000,00;4,25;60000,00;185,00;48,00
0,00;0,00;1,00;58,00;10000,00;5,22;60000,00;159,00;32,00
0,00;0,00;0,00;82,00;10000,00;5,37;140000,00;137,00;10,00
0,00;0,00;0,00;50,00;0,00;5,49;120000,00;177,00;28,00
0,00;0,00;1,00;70,00;120000,00;5,00;120000,00;182,00;33,00
0,00;0,00;0,00;56,00;0,00;4,10;70000,00;154,00;27,00
0,00;0,00;1,00;56,00;0,00;5,03;140000,00;154,00;27,00
0,00;1,00;0,00;58,00;0,00;5,62;50000,00;177,00;15,00
0,00;1,00;0,00;52,00;0,00;5,00;40000,00;182,00;42,00
0,00;0,00;0,00;50,00;0,00;5,45;100000,00;180,00;16,00
0,00;0,00;0,00;58,00;120000,00;4,87;70000,00;181,00;54,00
0,00;1,00;0,00;58,00;20000,00;5,28;120000,00;184,00;31,00
0,00;0,00;1,00;17,00;0,00;5,27;220000,00;127,00;0,00
1,00;0,00;0,00;51,00;0,00;4,95;20000,00;179,00;2,00
0,00;0,00;1,00;66,00;310000,00;5,00;140000,00;173,00;29,00
1,00;0,00;1,00;79,00;10000,00;4,82;120000,00;182,00;11,00
0,00;0,00;1,00;68,00;20000,00;4,60;90000,00;179,00;52,00
1,00;0,00;1,00;54,00;0,00;5,45;120000,00;179,00;20,00
0,00;0,00;1,00;55,00;0,00;4,90;40000,00;179,00;52,00
0,00;0,00;1,00;56,00;80000,00;4,98;130000,00;157,00;19,00
0,00;0,00;0,00;80,00;0,00;4,25;60000,00;158,00;29,00
0,00;0,00;1,00;60,00;10000,00;4,45;50000,00;180,00;1,00
1,00;0,00;1,00;39,00;0,00;4,00;80000,00;181,00;42,00
0,00;0,00;0,00;16,00;0,00;4,59;410000,00;144,00;7,00
